Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,Plays,NameASCII,PlayerId,MLBAMID
2002,"Chris Truby","MON","LF",1,0,2.2,0,0,0,0,0,0,0,0,0,,,,,,0,"Chris Truby",799,150067
2002,"Jose Vidro","MON","2B",152,151,1323,308,448,10,7,3,85,36,50,6,,,,,,0,"Jose Vidro",802,123723
2002,"Brad Wilkerson","MON","1B",23,21,191.1,181,14,1,0,1,24,3,0,23,1,,,,,0,"Brad Wilkerson",804,150415
2002,"Brad Wilkerson","MON","CF",73,70,581.2,152,5,5,2,3,0,3,0,0,,,,,,0,"Brad Wilkerson",804,150415
2002,"Brad Wilkerson","MON","LF",72,43,440.1,72,8,2,2,0,0,0,0,0,,,,,,0,"Brad Wilkerson",804,150415
2002,"Brad Wilkerson","MON","RF",3,1,10,3,0,0,0,0,0,0,0,0,,,,,,0,"Brad Wilkerson",804,150415
2002,"Ron Coomer","NYY","1B",11,6,59,60,6,1,0,1,5,0,0,5,1,,,,,0,"Ron Coomer",816,112641
2002,"Ron Coomer","NYY","3B",26,22,193,12,33,6,3,3,2,2,0,0,,,,,,0,"Ron Coomer",816,112641
2002,"Jason Giambi","NYY","1B",92,92,781.2,759,34,4,3,1,48,2,0,51,17,,,,,0,"Jason Giambi",818,114739
2002,"Derek Jeter","NYY","SS",156,156,1383.1,220,367,14,8,6,66,36,30,3,,,,,,0,"Derek Jeter",826,116539
2002,"Nick Johnson","NYY","1B",78,59,550.2,517,43,7,4,3,44,2,0,45,8,,,,,0,"Nick Johnson",828,276376
2002,"Nick Johnson","NYY","LF",2,1,7.2,2,0,0,0,0,0,0,0,0,,,,,,0,"Nick Johnson",828,276376
2002,"Juan Rivera","NYY","LF",15,13,115,21,2,2,2,0,0,1,0,0,,,,,,0,"Juan Rivera",843,407487
2002,"Juan Rivera","NYY","RF",15,12,119.2,33,0,0,0,0,0,1,0,1,,,,,,0,"Juan Rivera",843,407487
2002,"Alfonso Soriano","NYY","2B",155,154,1388,301,400,23,15,8,79,30,50,5,,,,,,0,"Alfonso Soriano",847,150093
2002,"Shane Spencer","NYY","LF",40,34,309.2,64,2,2,1,1,0,0,0,0,,,,,,0,"Shane Spencer",848,133341
2002,"Shane Spencer","NYY","RF",54,42,385,89,3,2,2,0,0,1,0,0,,,,,,0,"Shane Spencer",848,133341
2002,"John Vander Wal","NYY","1B",6,4,40,32,0,0,0,0,2,0,0,3,0,,,,,0,"John Vander Wal",853,123639
2002,"John Vander Wal","NYY","LF",8,7,49,12,0,0,0,0,0,0,0,0,,,,,,0,"John Vander Wal",853,123639
2002,"John Vander Wal","NYY","RF",48,45,345,75,0,2,2,0,0,0,0,0,,,,,,0,"John Vander Wal",853,123639
2002,"Robin Ventura","NYY","1B",5,0,20.2,19,2,0,0,0,1,0,0,1,1,,,,,0,"Robin Ventura",854,123697
2002,"Robin Ventura","NYY","3B",138,130,1133.1,109,261,23,13,10,20,21,0,0,,,,,,0,"Robin Ventura",854,123697
2002,"Rondell White","NYY","CF",1,1,7,0,0,0,0,0,0,0,0,0,,,,,,0,"Rondell White",856,124185
2002,"Rondell White","NYY","LF",113,105,945.2,248,3,0,0,0,0,0,0,0,,,,,,0,"Rondell White",856,124185
2002,"Bernie Williams","NYY","CF",147,147,1317.1,349,2,5,4,1,0,1,0,0,,,,,,0,"Bernie Williams",857,124288
2002,"Enrique Wilson","NYY","2B",7,7,64,15,18,0,0,0,5,2,3,0,,,,,,0,"Enrique Wilson",858,124388
2002,"Enrique Wilson","NYY","3B",25,8,114.2,15,26,3,0,3,1,1,0,0,,,,,,0,"Enrique Wilson",858,124388
2002,"Enrique Wilson","NYY","RF",2,1,9,0,0,0,0,0,0,0,0,0,,,,,,0,"Enrique Wilson",858,124388
2002,"Enrique Wilson","NYY","SS",14,4,59.2,11,21,2,1,1,5,1,4,0,,,,,,0,"Enrique Wilson",858,124388
2002,"Edgardo Alfonzo","NYM","3B",134,131,1156,96,279,12,6,6,18,21,1,2,,,,,,0,"Edgardo Alfonzo",859,110135
