Year,TeamID,OFF_DEF,H_A,Bathand,HR
1879,PRO,OFF,A,R,1
1879,PRO,OFF,A,U,0
1879,PRO,DEF,H,L,0
1879,PRO,DEF,H,R,3
1879,PRO,DEF,H,U,1
1879,PRO,DEF,A,L,4
1879,PRO,DEF,A,R,1
1879,PRO,DEF,A,U,0
1879,SR1,OFF,H,L,0
1879,SR1,OFF,H,R,1
1879,SR1,OFF,H,U,0
1879,SR1,OFF,A,L,1
1879,SR1,OFF,A,R,2
1879,SR1,OFF,A,U,1
1879,SR1,DEF,H,L,0
1879,SR1,DEF,H,R,2
1879,SR1,DEF,H,U,0
1879,SR1,DEF,A,L,0
1879,SR1,DEF,A,R,2
1879,SR1,DEF,A,U,0
1879,TRN,OFF,H,L,3
1879,TRN,OFF,H,R,0
1879,TRN,OFF,H,U,0
1879,TRN,OFF,A,L,1
1879,TRN,OFF,A,R,0
1879,TRN,OFF,A,U,0
1879,TRN,DEF,H,L,2
1879,TRN,DEF,H,R,4
1879,TRN,DEF,H,U,0
1879,TRN,DEF,A,L,4
1879,TRN,DEF,A,R,3
1879,TRN,DEF,A,U,0
1880,BFN,OFF,H,L,1
1880,BFN,OFF,H,R,0
1880,BFN,OFF,H,U,0
1880,BFN,OFF,A,L,1
1880,BFN,OFF,A,R,1
1880,BFN,OFF,A,U,0
1880,BFN,DEF,H,L,0
1880,BFN,DEF,H,R,1
1880,BFN,DEF,H,U,0
1880,BFN,DEF,A,L,3
1880,BFN,DEF,A,R,6
1880,BFN,DEF,A,U,0
1880,BSN,OFF,H,L,2
1880,BSN,OFF,H,R,10
1880,BSN,OFF,H,U,2
1880,BSN,OFF,A,L,1
1880,BSN,OFF,A,R,5
1880,BSN,OFF,A,U,0
1880,BSN,DEF,H,L,0
1880,BSN,DEF,H,R,1
1880,BSN,DEF,H,U,0
1880,BSN,DEF,A,L,1
1880,BSN,DEF,A,R,0
1880,BSN,DEF,A,U,0
1880,CHN,OFF,H,L,1
1880,CHN,OFF,H,R,0
1880,CHN,OFF,H,U,0
1880,CHN,OFF,A,L,1
1880,CHN,OFF,A,R,2
1880,CHN,OFF,A,U,0
1880,CHN,DEF,H,L,0
