PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Bob Roselli,1011205,68,114,129,15,7,1,2,8,10,12,1,31,2,0,1,2,1,0
Steve Rosenberg,1011215,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pete Rose,1011218,11,14,16,2,0,0,0,2,0,2,0,9,0,0,0,0,0,0
Steve Roser,1011220,41,43,47,4,0,0,0,1,1,2,,14,0,,2,1,0,0
John Roskos,1011221,37,49,53,1,3,0,0,1,2,4,0,19,0,0,0,1,0,0
Bob Ross,1011222,17,12,13,0,1,0,0,0,2,1,,2,0,,0,1,0,0
Buster Ross,1011223,64,50,57,6,2,0,0,3,1,5,,18,0,,2,,0,0
Buck Ross,1011224,237,448,500,55,11,0,3,24,27,20,,141,2,,30,8,0,0
Joe Rosselli,1011228,9,10,11,2,0,0,0,1,1,0,0,3,0,0,1,0,0,0
Gary Ross,1011230,232,61,72,6,1,0,0,2,4,1,0,22,0,0,10,1,0,0
Joe Rossi,1011232,55,145,166,30,0,1,1,14,6,20,,20,1,,0,3,1,0
Mark Ross,1011233,19,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Marv Rotblatt,1011237,35,15,18,0,0,0,0,0,0,1,,7,0,,2,0,0,0
Bob Rothel,1011240,4,10,13,2,0,0,0,0,0,3,,1,0,,0,1,0,0
Don Rowe,1011253,26,13,13,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0
Ken Rowe,1011256,20,6,6,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0
Chuck Rowland,1011260,5,6,6,0,0,0,0,0,0,0,,2,0,,0,,0,0
Mike Rowland,1011261,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rich Rowland,1011262,98,230,254,32,8,0,9,22,26,22,1,71,0,1,1,5,0,0
Luther Roy,1011268,56,53,61,14,0,0,0,3,5,7,,10,0,,1,,0,0
Willie Royster,1011271,4,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Dick Rozek,1011272,31,12,14,1,0,0,0,0,0,1,,8,0,,1,0,0,0
Sonny Ruberto,1011276,21,24,26,3,0,0,0,3,0,1,0,8,1,0,0,0,0,0
Jorge Rubio,1011277,10,11,13,1,0,0,0,1,0,1,0,5,0,0,1,1,0,0
