Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Beau Brieske","DET",15,15,81.2,339,0.3061,0.8494,0.8369,0.4289,0.0824,0.2207,0.1593,71.69794416337292,0.0737,91.89033837414111,0.0855,0.24081632653061225,84.00061430370089,0.7557,103.67715404380493,0.125,17.235410922181373,0.1042,0.4131,4.187753276325276,107.56580576490482,5.56,4.973653487937103,127.60601682608545,4.775310747019456,121.39624741799587,4.834685356827399,1.199999476841746,95.79839867320253,95.39463869463867,101.7967365967366,101.22198912198908,0.143653005361557,1.064620018005371,"Beau Brieske",26079,689225
"Mike Mayers","LAA",3,3,14.2,63,0.3885,0.9143,0.7581,0.4184,0.1255,0.2552,0.1905,85.73404963450942,0.0952,118.66980921918639,0.0952,0.2619047619047619,91.35660030204758,0.6962,95.51859313661407,0.1875,14.527454723011363,0.0889,0.6222,4.295444676721405,108.59774353040591,,5.362424640233906,133.21298911012659,4.318290699151336,109.62726860909999,4.499210482585414,1.363633230705208,108.86161402581385,100.35062761506275,100.88451882845189,101.18535564853556,0.019846400246024132,0.0007722160080447793,"Mike Mayers",15451,594577
"Alex Cobb","SFG",28,28,149.2,631,0.3232,0.877,0.7677,0.4127,0.1042,0.2945,0.2393,105.80468897977649,0.0681,82.19101204249782,0.1712,0.33647058823529413,115.2762344547026,0.6796,94.05244032253033,0.102272727,1.7561844629598848,0.0369,0.4078,3.7282765889486313,95.8387222920003,3.15,2.798399344192919,73.82540227317853,2.88708289667204,72.73564531839585,3.1517538703460573,1.3028923563530164,101.85610343023193,93.5052217157066,101.46307501036053,101.15399917115623,3.6623599529266357,1.8284000158309937,"Alex Cobb",6562,502171
"Paolo Espino","WSN",19,19,83.2,368,0.2906,0.8911,0.8067,0.4282,0.0859,0.2824,0.1821,80.49785540116197,0.0516,62.27174121741016,0.1304,0.313953488372093,107.56178162040268,0.7189,99.48741431244554,0.198198198,13.423868221088048,0.0786,0.425,5.8087624683555035,143.04994254417412,,5.682149831579434,140.00754894861979,4.2278272720702965,105.81137253409969,4.235739828928097,1.4581667101633158,113.9949732030461,86.34087385482738,101.02381959126144,101.07152924594781,-0.41269901394844055,-0.4362959861755371,"Paolo Espino",8246,502179
"José Suarez","LAA",20,20,102.1,435,0.3606,0.8607,0.7757,0.4381,0.1148,0.2666,0.2161,97.26380136989367,0.0736,91.6621972080544,0.1425,0.2842465753424658,99.14978476118863,0.7381,101.27198979488563,0.115044247,11.856435643564357,0.0852,0.3869,4.133563945580818,104.5050631571277,,3.982139481335544,98.52832857644191,3.965354841529534,100.53861998498297,4.0385008769934245,1.2508184043365123,99.85537700547745,91.30914524805739,102.9931858936043,101.0471607890018,1.4404499530792236,1.4810700416564941,"Jose Suarez",19911,660761
"Sonny Gray","MIN",24,24,119.2,488,0.3025,0.8796,0.7859,0.3942,0.0924,0.2943,0.2398,107.914221394333,0.0738,91.92046620604609,0.166,0.27672955974842767,96.5277286210314,0.7723,105.9581614486043,0.094017094,12.050091255001906,0.0547,0.3921,3.0835568750333517,80.45374517468471,3.67,3.40490810395017,87.28564766570534,3.6573074921245063,92.6059204366899,3.7313267473030995,1.1281305640365922,90.06095720427953,103.5425281199786,99.29030530262453,101.01938939475092,2.3608100414276123,2.7701001167297363,"Sonny Gray",12768,543243
"Cody Poteet","MIA",2,2,7.2,31,0.3607,0.931,0.7843,0.4245,0.1038,0.2642,0.1613,71.31249577431836,0.129,155.62649306558419,0.0323,0.19047619047619047,65.25794158274871,0.5263,72.83760414602658,0.166666666,0.521936373277144,0.0909,0.3636,5.86956278362988,144.45350854527751,,5.068950737446939,128.64855138457884,4.531853151042217,113.31159198227212,4.99973450835958,1.173912556725976,91.77286075315013,101.72095238095238,99.78000000000002,101.00285714285715,-0.013553700409829617,-0.02083360031247139,"Cody Poteet",18769,547001
"Dustin May","LAD",6,6,30,127,0.3066,0.8333,0.7252,0.4219,0.1287,0.2869,0.2283,100.96052557065744,0.1102,132.9564916038764,0.1181,0.23684210526315788,81.1430984153915,0.6425,88.91070673961552,0.130434782,4.67198728903746,0.0506,0.3291,4.5,114.01907487216458,3.67,4.379096476236979,108.21319429307388,4.214050659537316,105.47150798836033,4.205108699589267,1.1666666666666667,91.20639943059622,103.73059071729955,98.91371308016879,100.92172995780592,0.27274999022483826,0.10202000290155411,"Dustin May",19716,669160
"Nick Pivetta","BOS",33,33,179.2,773,0.3018,0.8503,0.7906,0.4367,0.0996,0.2674,0.2264,101.89929893379635,0.0944,117.67193864359923,0.132,0.3002028397565923,104.71558684815191,0.7528,103.28210171941923,0.123853211,15.267142630912161,0.0904,0.4538,4.558432912313284,110.68896149389631,4.65,4.42040506524018,111.52194217734834,4.263012532953995,108.2037696409347,4.213446755190487,1.3803313336430947,110.1946575422493,106.72279220779217,97.7359090909091,100.91444805194801,1.5199999809265137,2.082509994506836,"Nick Pivetta",15454,601713
"Noah Syndergaard","- - -",24,24,132.2,557,0.3315,0.8734,0.8172,0.4461,0.0906,0.2623,0.167,74.7372126380371,0.0557,68.70318423590295,0.1113,0.29156626506024097,100.87974435695104,0.7181,98.86167193650476,0.08588957,12.387446554558215,0.0793,0.3403,4.0025116037455994,100.02012931835745,,3.8737361598119424,95.45823355489631,4.320729483884262,109.02303450489018,4.428032490347417,1.251255981585253,99.02948120135588,86.80493130017705,104.84624999184778,100.83224047438058,2.14511901140213,1.9639800190925598,"Noah Syndergaard",11762,592789
