Rk,Player,WAR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos
37,Eddie Collins,10.5,1910,23,PHA,AL,153,667,581,81,188,154,16,15,3,81,81,,49,41,0.324,0.382,0.418,0.8,150,243,,6,22,,,10.5,7.8,7.6,2.8,33,0,10,10,24,*4
38,Mickey Mantle,10.5,1961,29,NYY,AL,153,646,514,131,163,87,16,6,54,128,12,1,126,112,0.317,0.448,0.687,1.135,206,353,2,0,1,5,9,10.5,8.5,10.6,-0.1,80,2,6,8,1,*8/H
39,Willie Mays,10.4,1954,23,NYG,NL,151,641,565,119,195,108,33,13,41,110,8,5,66,57,0.345,0.411,0.667,1.078,175,377,12,2,0,7,14,10.4,8.1,8.4,2,60,-1,3,2,21,*8
40,Ted Williams,10.4,1941,22,BOS,AL,143,606,456,135,185,112,33,3,37,120,2,4,147,27,0.406,0.553,0.735,1.287,235,335,10,3,0,,25,10.4,8.4,10.7,-0.9,99,-1,0,0,-3,*7H/9
41,Álex Rodríguez,10.4,2000,24,SEA,AL,148,672,554,134,175,98,34,2,41,132,15,4,100,121,0.316,0.42,0.606,1.026,163,336,10,7,0,11,5,10.4,8.1,8.9,2.4,58,1,6,7,16,*6
42,Lou Boudreau,10.4,1948,30,CLE,AL,152,676,560,116,199,141,34,6,18,106,3,2,98,9,0.355,0.453,0.534,0.987,166,299,15,2,16,,7,10.4,8.4,8.3,3,57,1,-1,0,20,*6/2H
43,Jimmie Foxx,10.4,1932,24,PHA,AL,154,702,585,151,213,113,33,9,58,169,3,7,116,96,0.364,0.469,0.749,1.218,207,438,,0,0,,10,10.4,7.9,10,-0.1,91,0,-1,-1,5,*35
44,Sammy Sosa,10.3,2001,32,CHC,NL,160,711,577,146,189,86,34,5,64,160,0,2,116,153,0.328,0.437,0.737,1.174,203,425,6,6,0,12,37,10.3,8.2,9.8,-0.1,84,1,1,2,6,*9
45,Babe Ruth,10.3,1930,35,NYY,AL,145,676,518,150,186,100,28,9,49,153,10,10,136,61,0.359,0.493,0.732,1.225,211,379,,1,21,,8,10.3,7.8,10,-0.4,96,0,-1,-1,2,*97/1
46,Willie Mays,10.2,1958,27,SFG,NL,152,685,600,121,208,135,33,11,29,96,31,6,78,56,0.347,0.419,0.583,1.002,165,350,11,1,0,6,12,10.2,7.8,8.8,1.5,54,0,8,8,15,*8/H
47,Ernie Banks,10.2,1959,28,CHC,NL,155,671,589,97,179,103,25,6,45,143,2,4,64,72,0.304,0.374,0.596,0.97,156,351,18,7,2,9,20,10.2,7.7,7.8,3.5,42,-1,1,-1,23,*6/H
48,Rogers Hornsby,10.2,1925,29,STL,NL,138,606,504,133,203,113,41,10,39,143,5,3,83,39,0.403,0.489,0.756,1.245,210,381,,2,16,,8,10.2,8.3,10.3,0.4,87,0,1,1,0,*4/H
49,Rogers Hornsby,10.2,1927,31,NYG,NL,155,684,568,133,205,138,32,9,26,125,9,6,86,38,0.361,0.448,0.586,1.035,175,333,,4,26,,7,10.2,8,9,1.8,63,0,0,0,12,*4
50,Honus Wagner,10.2,1905,31,PIT,NL,147,619,548,114,199,147,32,14,6,101,57,,54,53,0.363,0.427,0.505,0.932,175,277,,7,7,,,10.2,8.2,8.7,2.7,48,0,4,4,14,*6/7
51,Babe Ruth,10.2,1928,33,NYY,AL,154,684,536,163,173,82,29,8,54,146,4,5,137,87,0.323,0.463,0.709,1.172,206,380,,3,8,,8,10.2,7.6,9.9,-0.5,84,0,0,0,2,*97
52,Tris Speaker,10.1,1912,24,BOS,AL,153,675,580,136,222,147,53,12,10,90,52,28,82,36,0.383,0.464,0.567,1.031,190,329,,6,7,,,10.1,7.6,9.3,0.4,69,0,2,2,8,*8
53,Rogers Hornsby,10.1,1922,26,STL,NL,154,704,623,141,250,148,46,14,42,152,17,12,65,50,0.401,0.459,0.722,1.181,207,450,,1,15,,,10.1,8,11.3,-0.7,95,0,0,0,-13,*4
54,Al Rosen,10.1,1953,29,CLE,AL,155,688,599,115,201,126,27,5,43,145,8,7,85,48,0.336,0.422,0.613,1.034,180,367,19,4,0,,4,10.1,7.9,9.1,1,69,-2,2,1,9,*5/36H
55,Lou Gehrig,10.1,1934,31,NYY,AL,154,690,579,128,210,115,40,6,49,166,9,5,109,31,0.363,0.465,0.706,1.172,207,409,,2,0,,13,10.1,7.6,9.9,-0.4,91,1,-4,-3,3,*3/6
56,Cal Ripken Jr.,10,1984,23,BAL,AL,162,716,641,103,195,124,37,7,27,86,2,1,71,89,0.304,0.374,0.51,0.884,146,327,16,2,0,2,1,10,7.8,7.7,3.6,41,-2,2,1,23,*6
57,Nap Lajoie,10,1906,31,CLE,AL,152,656,602,88,214,157,48,9,0,91,20,,30,19,0.355,0.392,0.465,0.857,169,280,,6,17,,,10,7.6,7.6,2.6,45,0,-2,-2,20,*45/6
58,Tris Speaker,10,1914,26,BOS,AL,158,668,571,101,193,125,46,18,4,90,42,29,77,25,0.338,0.423,0.503,0.926,178,287,,7,13,,,10,7.3,8.5,1.1,52,0,1,1,14,*8/13H
59,Rico Petrocelli,10,1969,26,BOS,AL,154,643,535,92,159,85,32,2,40,97,3,5,98,68,0.297,0.403,0.589,0.992,168,315,12,1,3,6,13,10,7.8,8.4,2.7,49,0,-1,-1,16,*6/5
60,Rickey Henderson,9.9,1990,31,OAK,AL,136,594,489,119,159,95,33,3,28,61,65,10,97,60,0.325,0.439,0.577,1.016,189,282,13,4,2,2,2,9.9,8,8.4,1.1,61,-1,6,5,16,*7D/H
61,Barry Bonds,9.9,1993,28,SFG,NL,159,674,539,129,181,93,38,4,46,123,29,12,126,79,0.336,0.458,0.677,1.136,206,365,11,2,0,7,43,9.9,7.9,8.8,0.4,73,0,2,1,9,*7/H
62,Rogers Hornsby,9.9,1917,21,STL,NL,145,589,523,86,171,122,24,17,8,66,17,,45,34,0.327,0.385,0.484,0.868,169,253,,4,17,,,9.9,8.1,7.7,3.5,40,0,-1,-1,18,*6/H
63,Mike Trout,9.9,2018,26,LAA,AL,140,608,471,101,147,80,24,4,39,79,24,2,122,124,0.312,0.46,0.628,1.088,198,296,5,10,0,4,25,9.9,7.9,9.2,1,64,1,4,5,6,*8D/H
64,Rickey Henderson,9.9,1985,26,NYY,AL,143,654,547,146,172,115,28,5,24,72,80,10,99,65,0.314,0.419,0.516,0.934,157,282,8,3,0,5,1,9.9,8,8.6,1.5,47,0,17,18,13,*8/7HD
65,Ty Cobb,9.9,1909,22,DET,AL,156,655,573,115,216,164,33,10,9,107,76,,48,45,0.377,0.431,0.517,0.947,192,296,,6,24,,,9.9,7.4,9.6,-0.7,58,0,9,9,4,*9/84
66,Larry Walker,9.8,1997,30,COL,NL,153,664,568,143,208,109,46,4,49,130,33,8,78,90,0.366,0.452,0.72,1.172,178,409,15,14,0,4,14,9.8,7.9,8.9,0.3,70,2,7,9,10,*9/38HD
67,George Sisler,9.8,1920,27,SLB,AL,154,692,631,137,257,171,49,18,19,122,42,17,46,19,0.407,0.449,0.632,1.082,182,399,,2,13,,,9.8,7.4,9.2,0,72,0,4,4,6,*3/1
68,Arky Vaughan,9.8,1935,23,PIT,NL,137,610,499,108,192,129,34,10,19,99,4,7,97,18,0.385,0.491,0.607,1.098,190,303,5,7,7,,7,9.8,7.8,10,0.7,70,2,3,6,-3,*6
69,Nap Lajoie,9.8,1910,35,CLE,AL,159,679,592,94,227,165,51,7,4,76,26,,60,18,0.383,0.444,0.514,0.958,197,304,,5,21,,,9.8,7,10,-0.3,65,0,-2,-2,-1,*43
70,Ron Santo,9.8,1967,27,CHC,NL,161,697,586,107,176,118,23,4,31,98,1,5,96,103,0.3,0.395,0.512,0.906,153,300,17,3,0,12,9,9.8,7.3,7.5,2.7,42,-1,-1,-2,18,*5
71,Mike Schmidt,9.8,1974,24,PHI,NL,162,686,568,108,160,89,28,7,36,116,23,12,106,138,0.282,0.395,0.546,0.941,158,310,4,4,3,5,14,9.8,7.6,7.7,2.4,46,1,1,3,18,*5
72,Barry Bonds,9.7,1990,25,PIT,NL,151,621,519,104,156,88,32,3,33,114,52,13,93,83,0.301,0.406,0.565,0.97,170,293,8,3,0,6,15,9.7,7.8,6.5,2.5,46,0,3,3,28,*7/H8
73,Bryce Harper,9.7,2015,22,WSN,NL,153,654,521,118,172,91,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,198,338,15,5,0,4,15,9.7,7.7,9.1,0.1,71,-1,3,2,6,*98/D
74,Albert Pujols,9.7,2009,29,STL,NL,160,700,568,124,186,93,45,1,47,135,16,4,115,64,0.327,0.443,0.658,1.101,189,374,23,9,0,8,44,9.7,7.6,7.9,0.8,67,-3,3,1,17,*3/HD
75,Rod Carew,9.7,1977,31,MIN,AL,155,694,616,128,239,171,38,16,14,100,23,13,69,55,0.388,0.449,0.57,1.019,178,351,6,3,1,5,15,9.7,7.5,8.9,0.1,64,3,7,10,8,*3/H4D
76,Lou Gehrig,9.7,1936,33,NYY,AL,155,719,579,167,205,112,37,7,49,152,3,4,130,46,0.354,0.478,0.696,1.174,190,403,,7,3,,9,9.7,7.4,9.8,-0.6,88,3,5,8,0,*3
77,Ken Griffey Jr.,9.7,1996,26,SEA,AL,140,638,545,125,165,88,26,2,49,140,16,1,78,104,0.303,0.392,0.628,1.02,154,342,7,7,1,7,13,9.7,7.6,6.6,3.4,40,3,3,6,32,*8/D
78,Eddie Collins,9.7,1909,22,PHA,AL,153,666,571,104,198,155,30,10,3,56,63,,62,36,0.347,0.416,0.45,0.866,170,257,,6,21,,,9.7,7.3,8.5,1.3,45,0,5,5,11,*4/6
79,Ted Williams,9.7,1957,38,BOS,AL,132,547,420,96,163,96,28,1,38,87,0,1,119,43,0.388,0.526,0.731,1.257,233,307,11,5,0,2,33,9.7,8,9.5,-0.4,83,-1,-1,-2,2,*7/H
80,Barry Bonds,9.7,1996,31,SFG,NL,158,675,517,122,159,87,27,3,42,129,40,7,151,76,0.308,0.461,0.615,1.076,188,318,11,1,0,6,30,9.7,7.6,8.9,0.3,70,0,8,8,10,*7/H8
81,Jackie Robinson,9.7,1951,32,BRO,NL,153,642,548,106,185,126,33,7,19,88,25,8,79,27,0.338,0.429,0.527,0.957,154,289,10,9,6,,6,9.7,7.2,8.1,2.4,44,0,4,4,16,*4/H
82,Joe Morgan,9.6,1976,32,CIN,NL,141,599,472,113,151,89,30,5,27,111,60,9,114,41,0.32,0.444,0.576,1.02,187,272,2,1,0,12,8,9.6,7.8,9.7,0.4,57,2,10,12,-1,*4H
83,Lou Gehrig,9.6,1930,27,NYY,AL,154,703,581,143,220,120,42,17,41,173,12,14,101,63,0.379,0.473,0.721,1.194,203,419,,3,18,,3,9.6,7.1,9.9,-1,95,0,-3,-3,-4,*3/7
84,Rogers Hornsby,9.6,1920,24,STL,NL,149,660,589,96,218,145,44,20,9,94,12,15,60,50,0.37,0.431,0.559,0.99,185,329,,3,8,,,9.6,7.4,9,1,60,0,-1,-1,6,*4
85,Mike Trout,9.6,2015,23,LAA,AL,159,682,575,104,172,93,32,6,41,90,11,7,92,158,0.299,0.402,0.59,0.991,176,339,11,10,0,5,14,9.6,7.3,8.8,1.3,58,0,-1,-1,7,*8/D
86,Adrián Beltré,9.6,2004,25,LAD,NL,156,657,598,104,200,120,32,0,48,121,7,2,53,87,0.334,0.388,0.629,1.017,163,376,15,2,0,4,9,9.6,7.6,7.4,2.5,54,-2,1,-2,22,*5/6H
87,Stan Musial,9.5,1943,22,STL,NL,157,701,617,108,220,139,48,20,13,81,9,6,72,18,0.357,0.425,0.562,0.988,177,347,17,2,10,,14,9.5,7.3,8.1,0.7,58,1,1,2,13,*978/H
88,Joe Jackson,9.5,1912,24,CLE,AL,154,653,572,121,226,153,44,26,3,90,35,20,54,19,0.395,0.458,0.579,1.036,191,331,,12,15,,,9.5,7,8.8,-0.1,68,0,2,2,6,*98/H
89,Mookie Betts,9.5,2016,23,BOS,AL,158,730,672,122,214,136,42,5,31,113,26,4,49,80,0.318,0.363,0.534,0.897,133,359,12,2,0,7,1,9.5,7.2,6.4,2.7,31,4,9,12,30,*9/H
90,Mickey Mantle,9.5,1955,23,NYY,AL,147,638,517,121,158,85,25,11,37,99,8,1,113,97,0.306,0.431,0.611,1.042,180,316,4,3,2,3,6,9.5,7.5,8.4,1.1,58,1,5,6,10,*8/H6
91,Ted Williams,9.5,1947,28,BOS,AL,156,693,528,125,181,100,40,9,32,114,0,1,162,47,0.343,0.499,0.634,1.133,205,335,10,2,1,,29,9.5,7.5,9.6,-0.9,79,0,-1,0,0,*7
92,Carl Yastrzemski,9.5,1970,30,BOS,AL,161,698,566,125,186,117,29,0,40,102,23,13,128,66,0.329,0.452,0.592,1.044,177,335,12,1,0,2,12,9.5,7.1,8.9,-0.3,66,0,3,4,7,37/8H
