PlayerId,MLBAMID,Name
512,150359.0,A.J. Burnett
513,112116.0,Luis Castillo
514,135783.0,Ramon Castro
516,133240.0,Vic Darensbourg
517,133225.0,Ryan Dempster
518,114260.0,Cliff Floyd
520,136460.0,Alex Gonzalez
521,276351.0,Jason Grilli
523,116569.0,Charles Johnson
525,117601.0,Derrek Lee
526,131702.0,Braden Looper
527,136780.0,Mike Lowell
529,132788.0,Kevin Millar
532,136727.0,Vladimir Nunez
534,120140.0,Eric Owens
535,207267.0,Brad Penny
538,133226.0,Mike Redmond
540,122432.0,Mark Smith
541,123118.0,Julian Tavarez
545,133343.0,Preston Wilson
546,110385.0,Brad Ausmus
547,110432.0,Jeff Bagwell
548,204020.0,Lance Berkman
549,110987.0,Craig Biggio
550,150398.0,Geoff Blum
551,111492.0,Doug Brocail
554,112906.0,Nelson Cruz
555,136734.0,Octavio Dotel
556,348563.0,Morgan Ensberg
557,276356.0,Wayne Franklin
561,115902.0,Richard Hidalgo
562,116326.0,Brian L. Hunter
563,400058.0,Brad Lidge
564,276530.0,Scott Linebrink
565,150061.0,Julio Lugo
567,118421.0,T.J. Mathews
568,150063.0,Wade Miller
569,119211.0,Dave Mlicki
570,119809.0,C.J. Nitkowski
571,400061.0,Roy Oswalt
573,400062.0,Tim Redding
574,121110.0,Shane Reynolds
577,123743.0,Jose Vizcaino
578,123790.0,Billy Wagner
579,132880.0,Daryle Ward
580,124748.0,Gregg Zaun
583,346793.0,Jeremy Affeldt
584,110136.0,Luis Alicea
589,136860.0,Carlos Beltrán
591,407556.0,Angel Berroa
594,111838.0,Paul Byrd
595,134267.0,Mike Caruso
598,136866.0,Carlos Febles
602,115169.0,Jason Grimsley
604,407396.0,Ken Harvey
605,115832.0,Roberto Hernandez
606,134460.0,A.J. Hinch
607,116380.0,Raul Ibanez
609,117197.0,Chuck Knoblauch
612,213680.0,Mike MacDougal
613,118469.0,Darrell May
614,118490.0,Brent Mayne
620,120413.0,Neifi Perez
621,240494.0,Mark Quinn
623,120922.0,Joe Randa
624,150209.0,Dan Reichert
625,121057.0,Bryan Rekar
629,488681.0,Brandon Barnes
630,122195.0,Brian Shouse
632,133121.0,Blake Stein
633,122987.0,Jeff Suppan
634,123041.0,Mike Sweeney
635,123494.0,Michael Tucker
637,110351.0,Andy Ashby
639,134181.0,Adrián Beltré
642,111554.0,Kevin Brown
643,112030.0,Giovanni Carrara
646,112984.0,Omar Daal
647,113554.0,Darren Dreifort
650,150378.0,Eric Gagne
651,115094.0,Shawn Green
652,115174.0,Marquis Grissom
653,115210.0,Mark Grudzielanek
655,408193.0,Kaz Ishii
656,285131.0,Cesar Izturis
658,116747.0,Brian Jordan
659,116852.0,Eric Karros
661,117316.0,Chad Kreuter
662,134001.0,Paul Lo Duca
665,119488.0,Terry Mulholland
666,119827.0,Hideo Nomo
667,120051.0,Jesse Orosco
668,136602.0,Odalis Perez
669,120824.0,Paul Quantrill
670,150353.0,Dave Roberts
672,122618.0,Dennis Springer
676,132720.0,Paul Bako
677,150071.0,Ronnie Belliard
680,112077.0,Raul Casanova
682,113211.0,Mike DeJean
683,150153.0,Nelson Figueroa
687,115394.0,Jeffrey Hammonds
688,115825.0,José Hernández
689,116191.0,Tyler Houston
690,132961.0,Geoff Jenkins
693,150037.0,Ray King
694,117710.0,Curt Leskanic
695,117922.0,Luis Lopez
697,450317.0,J.P. Arencibia
700,119913.0,Alex Ochoa
705,275935.0,Ruben Quevedo
707,121556.0,Glendon Rusch
708,400128.0,Alex Sanchez
709,122027.0,Richie Sexson
710,282656.0,Ben Sheets
713,123302.0,Ryan Thompson
714,150430.0,Luis Vizcaino
715,124604.0,Jamey Wright
716,124695.0,Eric Young Sr.
718,346797.0,Grant Balfour
719,232694.0,Casey Blake
727,115216.0,Eddie Guardado
728,150217.0,Cristian Guzman
729,115629.0,LaTroy Hawkins
730,116000.0,Denny Hocking
731,116338.0,Torii Hunter
732,116436.0,Michael Jackson
735,150218.0,Jacque Jones
736,282878.0,Bobby Kielty
737,150219.0,Matt Kinney
738,136731.0,Corey Koskie
739,346798.0,Kyle Lohse
740,150222.0,Joe Mays
741,137006.0,Doug Mientkiewicz
743,132980.0,Eric Milton
744,407380.0,Dustan Mohr
745,120074.0,David Ortiz
746,150229.0,A.J. Pierzynski
747,120771.0,Tom Prince
748,120878.0,Brad Radke
750,120999.0,Rick Reed
752,346799.0,Juan Rincon
753,276372.0,Luis Rivas
754,240694.0,J.C. Romero
755,276371.0,Johan Santana
758,123472.0,Mike Trombley
759,123609.0,Javier Valentin
760,124077.0,Bob Wells
761,150393.0,Tony Armas
762,136664.0,Michael Barrett
763,150395.0,Peter Bergeron
766,111851.0,Orlando Cabrera
768,346795.0,Endy Chavez
769,136600.0,Bruce Chen
770,112680.0,Wil Cordero
773,275933.0,Scott Downs
778,115223.0,Vladimir Guerrero
780,150382.0,Matt Herges
783,117841.0,Graeme Lloyd
785,453943.0,Todd Frazier
788,219594.0,Tomo Ohka
789,119975.0,Troy O'Leary
