"all_star_status" "team_id" "team_full_name" "link" "season" "team_code" "file_code" "team_abbreviation" "team_name" "first_year_of_play" "short_name" "franchise_name" "club_name" "active" "venue_id" "venue_name" "venue_link" "league_id" "league_name" "league_link" "sport_id" "sport_link" "sport_name" "location_name" "spring_venue_id" "spring_venue_link" "division_id" "division_name" "division_link" "spring_league_id" "spring_league_name" "spring_league_link" "spring_league_abbreviation"
"26" "N" 217 "Washington Nationals" "/api/v1/teams/217" 1873 "ws5" "t217" "WSN" "Nationals" "1873" "Washington" "Washington" "Nationals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"27" "N" 170 "Philadelphia White Stockings" "/api/v1/teams/170" 1873 "ph2" "t170" "PWS" "White Stockings" "1873" "Philadelphia" "Philadelphia" "White Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"28" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1873 "ny2" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"29" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1873 "ph1" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"30" "N" 144 "Boston Braves" "/api/v1/teams/144" 1874 "bs1" "t144" "BSN" "Braves" "1871" "Boston" "Boston" "Braves" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"31" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1874 "ch2" "t112" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"32" "N" 162 "Baltimore Lord Baltimores" "/api/v1/teams/162" 1874 "bl1" "t162" "BAL" "Lord Baltimores" "1872" "Baltimore" "Baltimore" "Lord Baltimores" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"33" "N" 183 "Brooklyn Atlantics" "/api/v1/teams/183" 1874 "br2" "t183" "BKA" "Atlantics" "1872" "Brooklyn" "Brooklyn" "Atlantics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"34" "N" 170 "Philadelphia White Stockings" "/api/v1/teams/170" 1874 "ph2" "t170" "PWS" "White Stockings" "1873" "Philadelphia" "Philadelphia" "White Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"35" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1874 "ny2" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"36" "N" 123 "Hartford Dark Blues" "/api/v1/teams/123" 1874 "hr1" "t123" "HAR" "Dark Blues" "1874" "Hartford" "Hartford" "Dark Blues" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"37" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1874 "ph1" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"38" "N" 144 "Boston Braves" "/api/v1/teams/144" 1875 "bs1" "t144" "BSN" "Braves" "1871" "Boston" "Boston" "Braves" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"39" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1875 "ch2" "t112" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"40" "N" 194 "St. Louis Red Stockings" "/api/v1/teams/194" 1875 "sl1" "t194" "SLR" "Red Stockings" "1875" "St. Louis" "St. Louis" "Red Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"41" "N" 131 "Keokuk Westerns" "/api/v1/teams/131" 1875 "keo" "t131" "KEO" "Westerns" "1875" "Keokuk" "Keokuk" "Westerns" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"42" "N" 195 "St. Louis Brown Stockings" "/api/v1/teams/195" 1875 "sl2" "t195" "STL" "Brown Stockings" "1875" "St. Louis" "St. Louis" "Brown Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"43" "N" 183 "Brooklyn Atlantics" "/api/v1/teams/183" 1875 "br2" "t183" "BKA" "Atlantics" "1872" "Brooklyn" "Brooklyn" "Atlantics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"44" "N" 170 "Philadelphia White Stockings" "/api/v1/teams/170" 1875 "ph2" "t170" "PWS" "White Stockings" "1873" "Philadelphia" "Philadelphia" "White Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"45" "N" 218 "Washington Olympics" "/api/v1/teams/218" 1875 "ws6" "t218" "WSO" "Olympics" "1875" "Washington" "Washington" "Olympics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"46" "N" 154 "New Haven New Havens" "/api/v1/teams/154" 1875 "nh1" "t154" "NH" "New Havens" "1875" "New Haven" "New Haven" "New Havens" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"47" "N" 171 "Philadelphia Centennials" "/api/v1/teams/171" 1875 "ph3" "t171" "PCN" "Centennials" "1875" "Philadelphia" "Philadelphia" "Centennials" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"48" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1875 "ny2" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"49" "N" 123 "Hartford Dark Blues" "/api/v1/teams/123" 1875 "hr1" "t123" "HAR" "Dark Blues" "1874" "Hartford" "Hartford" "Dark Blues" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"50" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1875 "ph1" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"51" "N" 144 "Boston Red Caps" "/api/v1/teams/144" 1876 "bsn" "atl" "BSN" "Red Caps" "1871" "Boston" "Boston" "Red Caps" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"52" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1876 "chn" "chc" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"53" "N" 195 "St. Louis Brown Stockings" "/api/v1/teams/195" 1876 "sl3" "t195" "STL" "Brown Stockings" "1875" "St. Louis" "St. Louis" "Brown Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"54" "N" 132 "Louisville Grays" "/api/v1/teams/132" 1876 "ls1" "t132" "LOU" "Grays" "1876" "Louisville" "Louisville" "Grays" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"55" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1876 "ny3" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"56" "N" 123 "Hartford Dark Blues" "/api/v1/teams/123" 1876 "har" "t123" "HAR" "Dark Blues" "1874" "Hartford" "Hartford" "Dark Blues" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"57" "N" 204 "Cincinnati Reds" "/api/v1/teams/204" 1876 "cn1" "t204" "CIN" "Reds" "1876" "Cincinnati" "Cincinnati" "Reds" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"58" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1876 "phn" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"59" "N" 144 "Boston Red Caps" "/api/v1/teams/144" 1877 "bsn" "atl" "BSN" "Red Caps" "1871" "Boston" "Boston" "Red Caps" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"60" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1877 "chn" "chc" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"61" "N" 195 "St. Louis Brown Stockings" "/api/v1/teams/195" 1877 "sl3" "t195" "STL" "Brown Stockings" "1875" "St. Louis" "St. Louis" "Brown Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"62" "N" 132 "Louisville Grays" "/api/v1/teams/132" 1877 "ls1" "t132" "LOU" "Grays" "1876" "Louisville" "Louisville" "Grays" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"63" "N" 123 "Hartford Dark Blues" "/api/v1/teams/123" 1877 "har" "t123" "HAR" "Dark Blues" "1874" "Hartford" "Hartford" "Dark Blues" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"64" "N" 204 "Cincinnati Reds" "/api/v1/teams/204" 1877 "cn1" "t204" "CIN" "Reds" "1876" "Cincinnati" "Cincinnati" "Reds" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"65" "N" 224 "Providence Grays" "/api/v1/teams/224" 1878 "pro" "t224" "PRO" "Grays" "1878" "Providence" "Providence" "Grays" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"66" "N" 144 "Boston Red Caps" "/api/v1/teams/144" 1878 "bsn" "atl" "BSN" "Red Caps" "1871" "Boston" "Boston" "Red Caps" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"67" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1878 "chn" "chc" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"68" "N" 150 "Milwaukee Cream Citys" "/api/v1/teams/150" 1878 "ml2" "t150" "MIL" "Cream Citys" "1878" "Milwaukee" "Milwaukee" "Cream Citys" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"69" "N" 204 "Cincinnati Reds" "/api/v1/teams/204" 1878 "cn1" "t204" "CIN" "Reds" "1876" "Cincinnati" "Cincinnati" "Reds" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"70" "N" 124 "Indianapolis Blues" "/api/v1/teams/124" 1878 "in1" "t124" "IND" "Blues" "1878" "Indianapolis" "Indianapolis" "Blues" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"71" "N" 224 "Providence Grays" "/api/v1/teams/224" 1879 "pro" "t224" "PRO" "Grays" "1878" "Providence" "Providence" "Grays" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"72" "N" 208 "Cleveland Spiders" "/api/v1/teams/208" 1879 "cl2" "t208" "CLE" "Spiders" "1879" "Cleveland" "Cleveland" "Spiders" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"73" "N" 144 "Boston Red Caps" "/api/v1/teams/144" 1879 "bsn" "atl" "BSN" "Red Caps" "1871" "Boston" "Boston" "Red Caps" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"74" "N" 112 "Chicago White Stockings" "/api/v1/teams/112" 1879 "chn" "chc" "CHI" "White Stockings" "1874" "Chi. White Stockings" "Chicago" "White Stockings" TRUE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"75" "N" 199 "Syracuse Stars" "/api/v1/teams/199" 1879 "sr1" "t199" "SYR" "Stars" "1879" "Syracuse" "Syracuse" "Stars" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"76" "N" 299 "Troy Trojans" "/api/v1/teams/299" 1879 "trn" "t299" "TRO" "Trojans" "1879" "Troy" "Troy" "Trojans" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"77" "N" 187 "Buffalo Bisons" "/api/v1/teams/187" 1879 "bfn" "t187" "BUF" "Bisons" "1879" "Buffalo" "Buffalo" "Bisons" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"78" "N" 204 "Cincinnati Reds" "/api/v1/teams/204" 1879 "cn1" "t204" "CIN" "Reds" "1876" "Cincinnati" "Cincinnati" "Reds" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
"79" "N" 224 "Providence Grays" "/api/v1/teams/224" 1880 "pro" "t224" "PRO" "Grays" "1878" "Providence" "Providence" "Grays" FALSE 401 "TBD" "/api/v1/venues/401" 104 "National League" "/api/v1/league/104" 1 "/api/v1/sports/1" "Major League Baseball" NA NA NA NA NA NA NA NA NA NA
