Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Angel Zerpa","KCR",5,5,21.2,0.2308,0.8898,0.816,0.4613,0.0829,0.2403,0.1684,73.21145729747744,0.0842,101.0469600207404,0.0842,0.296875,101.96882044528282,0.7746,107.14880675473499,0.181818181,14.109880589727146,0.0882,0.4853,4.569223663070264,104.46985276192804,,5.641951986273503,138.1240309196951,4.840906395701623,117.43247745099774,4.816754180400286,1.4307670056078603,111.62171183104715,75.6477900552486,99.7038674033149,93.37624309392264,-0.046987202018499374,0.24022890999913216,"Angel Zerpa",22717,672582
"Ryan Weathers","- - -",13,13,55.2,0.2639,0.8275,0.783,0.4257,0.0985,0.2519,0.16,71.78545297522079,0.116,134.8475761649516,0.044,0.3352941176470588,113.05442119520019,0.6627,92.23251398063165,0.142857142,15.127604252874514,0.0611,0.3333,6.467062147468799,156.31068387196498,,5.760615014346044,134.07870705278293,5.491922819691423,126.2658666316498,5.606030914973009,1.7245499059916798,130.06799931443257,88.47054647422381,96.71452448884259,93.23414849045157,-0.05243800487369299,-0.6125821247696877,"Ryan Weathers",23796,677960
"Jonathan Bowlan","KCR",1,1,2,0.3333,0.8462,0.7222,0.4828,0.1724,0.2069,0.2222,95.80815649143355,0,0,0.2222,0.3333333333333333,113.66943197520538,1,138.95933166532376,0.333333333,11.834128243582589,0.1429,0.2857,4.5,101.00957556893664,,7.755039882659912,182.05375701639372,3.7350692570209505,87.15637294799805,3.8188049869924385,1.5,115.52413601884683,,,,-0.05317329987883568,0.03094490058720112,"Jonathan Bowlan",24607,680742
"Zach Thompson","PIT",22,22,102.1,0.3242,0.8889,0.7917,0.3954,0.0974,0.258,0.1667,73.6895789373198,0.0899,108.44367940868602,0.0768,0.29874213836477986,102.35030932199976,0.7132,98.6994222645748,0.169642857,11.642035752713323,0.0653,0.3917,5.18894197423975,126.49161415971236,,5.301362017159209,132.4038279676156,4.507893659691438,112.72051913148357,4.748159826637832,1.5146629115012453,118.41167186493632,83.36248574686434,100.96334093500568,94.63580387685289,-0.05407290160655975,0.0025315498933196068,"Zach Thompson",16094,605507
"Tommy Milone","SEA",2,2,9,0.3592,0.925,0.8571,0.3681,0.0675,0.2209,0.075,32.335252848194074,0.15,175.8408673041461,-0.075,0.2,68.20165918512323,0.8621,119.7925272258174,0.066666666,16.536774666078628,0.0968,0.2581,2,48.79550105984249,,6.03281766043769,144.6233226289576,7.343961409727733,171.47115943633847,7.56537560956955,1.4444444444444444,111.24546431444509,86.19263803680981,109.23374233128835,104.37239263803681,-0.056018099188804626,0.2795250117778778,"Tommy Milone",7608,543548
"Hogan Harris","OAK",6,6,30,0.2814,0.8614,0.7958,0.4933,0.0944,0.2775,0.1812,78.10447535376248,0.087,101.93673380260795,0.0942,0.32978723404255317,112.46018269887341,0.5721,79.50409516434418,0.152173913,14.368399658203124,0.1089,0.4851,7.8,191.00316039327421,,5.82170654932658,139.8535691140736,5.323514354228974,124.26732100420259,5.091285970653708,1.6666666666666667,128.36015113205204,75.72485549132949,97.82851637764931,91.5504816955684,-0.05670430138707161,-0.7090399861335754,"Hogan Harris",21520,663687
"Alex Young","SFG",1,1,0.2,0.1875,1,1,0.3333,0,0.125,0,0,0.3333,402.03510688507487,-0.3333,0.25,85.6510483273577,0,0,0,18.332849502563477,0,0.25,13.500014081612017,347.0300739866953,,12.112439197311659,314.27471667117834,16.553568894859193,409.88340529986357,11.984854893220122,4.500004693870673,351.79647904176545,78.30416666666666,74.7625,69.69583333333333,-0.05671890079975128,-0.22964200377464294,"Alex Young",18333,622065
"Max Meyer","MIA",2,2,6,0.2826,0.871,0.75,0.4831,0.1236,0.2809,0.2308,102.03172475046397,0.0769,92.77733133754356,0.1538,0.3125,107.06381040919712,0.6452,89.28480511794005,0.25,13.138110690646702,0.1667,0.4444,7.5,184.5795596754107,,6.445763142903647,163.17413924919325,4.086263171831767,102.31903227226917,3.9330894330717694,1.5,117.26537069648084,99.64831460674154,100.33820224719102,100.12808988764044,-0.05785990133881569,-0.11810799688100815,"Max Meyer",27474,676974
"George Soriano","MIA",1,1,3,0.3333,0.875,0.7143,0.3898,0.1356,0.2712,0.2667,119.78342916478309,0.2,231.09978378150356,0.0667,0.2857142857142857,96.15476999062994,0.6522,90.83784353812446,0.2,21.63775062561035,0.125,0.25,9,204.8317516983947,,7.921706549326579,183.80927166521232,6.343961409727733,144.8333034901933,6.017916102469905,2,150.20202301444604,98.26101694915255,88.40847457627119,90.68983050847457,-0.05937900021672249,-0.08936239778995514,"George Soriano",21863,666277
"Sean Newcomb","- - -",3,3,10,0.3277,0.9167,0.8736,0.3959,0.0558,0.2335,0.1778,76.89098672410962,0.1111,130.25249429936747,0.0667,0.32142857142857145,109.83779474520728,0.7895,109.59265310996764,0.153846153,18.501266479492188,0.1667,0.5333,5.4,133.09909974017634,,6.312256860733033,153.92717473911472,5.775126704573632,137.2297658791002,5.299906046489356,1.6,123.80615664598129,80.38883248730964,97.08020304568528,91.1472081218274,-0.06104240193963051,0.02303280122578144,"Sean Newcomb",16943,656794
